"REF_DATE","GEO","DGUID","Statistical Area Classification (SAC)","Population and dwelling counts (3)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Newfoundland and Labrador","2021A000210","Within tracted CAs","Private dwellings occupied by usual residents, 2021","","0","units","0","","2.4.3","0","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Within non-tracted CAs","Population, 2021","","0","units","0","","2.5.1","57029","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Within non-tracted CAs","Total private dwellings, 2021","","0","units","0","","2.5.2","27352","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Within non-tracted CAs","Private dwellings occupied by usual residents, 2021","","0","units","0","","2.5.3","25112","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Outside CMAs/CAs","Population, 2021","","0","units","0","","2.6.1","240942","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Outside CMAs/CAs","Total private dwellings, 2021","","0","units","0","","2.6.2","144403","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Outside CMAs/CAs","Private dwellings occupied by usual residents, 2021","","0","units","0","","2.6.3","108142","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Strongly influenced","Population, 2021","","0","units","0","","2.7.1","26418","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Strongly influenced","Total private dwellings, 2021","","0","units","0","","2.7.2","18849","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Strongly influenced","Private dwellings occupied by usual residents, 2021","","0","units","0","","2.7.3","12210","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Moderately influenced","Population, 2021","","0","units","0","","2.8.1","132858","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Moderately influenced","Total private dwellings, 2021","","0","units","0","","2.8.2","77011","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Moderately influenced","Private dwellings occupied by usual residents, 2021","","0","units","0","","2.8.3","60493","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Weakly influenced","Population, 2021","","0","units","0","","2.9.1","57180","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Weakly influenced","Total private dwellings, 2021","","0","units","0","","2.9.2","29168","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Weakly influenced","Private dwellings occupied by usual residents, 2021","","0","units","0","","2.9.3","24594","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Not influenced","Population, 2021","","0","units","0","","2.10.1","24486","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Not influenced","Total private dwellings, 2021","","0","units","0","","2.10.2","19375","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Not influenced","Private dwellings occupied by usual residents, 2021","","0","units","0","","2.10.3","10845","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Territories","Population, 2021","","0","units","0","","2.11.1","0","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Territories","Total private dwellings, 2021","","0","units","0","","2.11.2","0","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Territories","Private dwellings occupied by usual residents, 2021","","0","units","0","","2.11.3","0","","","","0"
"2021","Prince Edward Island","2021A000211","All census subdivisions","Population, 2021","","0","units","0","","3.1.1","154331","","","","0"
"2021","Prince Edward Island","2021A000211","All census subdivisions","Total private dwellings, 2021","","0","units","0","","3.1.2","74934","","","","0"
"2021","Prince Edward Island","2021A000211","All census subdivisions","Private dwellings occupied by usual residents, 2021","","0","units","0","","3.1.3","64570","","","","0"
"2021","Prince Edward Island","2021A000211","Within CMAs","Population, 2021","","0","units","0","","3.2.1","0","","","","0"
"2021","Prince Edward Island","2021A000211","Within CMAs","Total private dwellings, 2021","","0","units","0","","3.2.2","0","","","","0"
"2021","Prince Edward Island","2021A000211","Within CMAs","Private dwellings occupied by usual residents, 2021","","0","units","0","","3.2.3","0","","","","0"
"2021","Prince Edward Island","2021A000211","Within CAs","Population, 2021","","0","units","0","","3.3.1","97015","","","","0"
"2021","Prince Edward Island","2021A000211","Within CAs","Total private dwellings, 2021","","0","units","0","","3.3.2","44701","","","","0"
"2021","Prince Edward Island","2021A000211","Within CAs","Private dwellings occupied by usual residents, 2021","","0","units","0","","3.3.3","40896","","","","0"
"2021","Prince Edward Island","2021A000211","Within tracted CAs","Population, 2021","","0","units","0","","3.4.1","0","","","","0"
"2021","Prince Edward Island","2021A000211","Within tracted CAs","Total private dwellings, 2021","","0","units","0","","3.4.2","0","","","","0"
"2021","Prince Edward Island","2021A000211","Within tracted CAs","Private dwellings occupied by usual residents, 2021","","0","units","0","","3.4.3","0","","","","0"
"2021","Prince Edward Island","2021A000211","Within non-tracted CAs","Population, 2021","","0","units","0","","3.5.1","97015","","","","0"
"2021","Prince Edward Island","2021A000211","Within non-tracted CAs","Total private dwellings, 2021","","0","units","0","","3.5.2","44701","","","","0"
"2021","Prince Edward Island","2021A000211","Within non-tracted CAs","Private dwellings occupied by usual residents, 2021","","0","units","0","","3.5.3","40896","","","","0"
"2021","Prince Edward Island","2021A000211","Outside CMAs/CAs","Population, 2021","","0","units","0","","3.6.1","57316","","","","0"
"2021","Prince Edward Island","2021A000211","Outside CMAs/CAs","Total private dwellings, 2021","","0","units","0","","3.6.2","30233","","","","0"
"2021","Prince Edward Island","2021A000211","Outside CMAs/CAs","Private dwellings occupied by usual residents, 2021","","0","units","0","","3.6.3","23674","","","","0"
"2021","Prince Edward Island","2021A000211","Strongly influenced","Population, 2021","","0","units","0","","3.7.1","24422","","","","0"
"2021","Prince Edward Island","2021A000211","Strongly influenced","Total private dwellings, 2021","","0","units","0","","3.7.2","13457","","","","0"
"2021","Prince Edward Island","2021A000211","Strongly influenced","Private dwellings occupied by usual residents, 2021","","0","units","0","","3.7.3","10034","","","","0"
"2021","Prince Edward Island","2021A000211","Moderately influenced","Population, 2021","","0","units","0","","3.8.1","31342","","","","0"
"2021","Prince Edward Island","2021A000211","Moderately influenced","Total private dwellings, 2021","","0","units","0","","3.8.2","16023","","","","0"
"2021","Prince Edward Island","2021A000211","Moderately influenced","Private dwellings occupied by usual residents, 2021","","0","units","0","","3.8.3","12980","","","","0"
"2021","Prince Edward Island","2021A000211","Weakly influenced","Population, 2021","","0","units","0","","3.9.1","876","","","","0"
"2021","Prince Edward Island","2021A000211","Weakly influenced","Total private dwellings, 2021","","0","units","0","","3.9.2","402","","","","0"
"2021","Prince Edward Island","2021A000211","Weakly influenced","Private dwellings occupied by usual residents, 2021","","0","units","0","","3.9.3","373","","","","0"
"2021","Prince Edward Island","2021A000211","Not influenced","Population, 2021","","0","units","0","","3.10.1","676","","","","0"
"2021","Prince Edward Island","2021A000211","Not influenced","Total private dwellings, 2021","","0","units","0","","3.10.2","351","","","","0"
"2021","Prince Edward Island","2021A000211","Not influenced","Private dwellings occupied by usual residents, 2021","","0","units","0","","3.10.3","287","","","","0"
"2021","Prince Edward Island","2021A000211","Territories","Population, 2021","","0","units","0","","3.11.1","0","","","","0"
"2021","Prince Edward Island","2021A000211","Territories","Total private dwellings, 2021","","0","units","0","","3.11.2","0","","","","0"
"2021","Prince Edward Island","2021A000211","Territories","Private dwellings occupied by usual residents, 2021","","0","units","0","","3.11.3","0","","","","0"
"2021","Nova Scotia","2021A000212","All census subdivisions","Population, 2021","","0","units","0","","4.1.1","969383","","","","0"
"2021","Nova Scotia","2021A000212","All census subdivisions","Total private dwellings, 2021","","0","units","0","","4.1.2","476007","","","","0"
"2021","Nova Scotia","2021A000212","All census subdivisions","Private dwellings occupied by usual residents, 2021","","0","units","0","","4.1.3","428228","","","","0"
"2021","Nova Scotia","2021A000212","Within CMAs","Population, 2021","","0","units","0","","4.2.1","465703","","","","0"
"2021","Nova Scotia","2021A000212","Within CMAs","Total private dwellings, 2021","","0","units","0","","4.2.2","211789","","","","0"
"2021","Nova Scotia","2021A000212","Within CMAs","Private dwellings occupied by usual residents, 2021","","0","units","0","","4.2.3","201138","","","","0"
"2021","Nova Scotia","2021A000212","Within CAs","Population, 2021","","0","units","0","","4.3.1","205801","","","","0"
"2021","Nova Scotia","2021A000212","Within CAs","Total private dwellings, 2021","","0","units","0","","4.3.2","100474","","","","0"
"2021","Nova Scotia","2021A000212","Within CAs","Private dwellings occupied by usual residents, 2021","","0","units","0","","4.3.3","91916","","","","0"
"2021","Nova Scotia","2021A000212","Within tracted CAs","Population, 2021","","0","units","0","","4.4.1","0","","","","0"
"2021","Nova Scotia","2021A000212","Within tracted CAs","Total private dwellings, 2021","","0","units","0","","4.4.2","0","","","","0"
"2021","Nova Scotia","2021A000212","Within tracted CAs","Private dwellings occupied by usual residents, 2021","","0","units","0","","4.4.3","0","","","","0"
"2021","Nova Scotia","2021A000212","Within non-tracted CAs","Population, 2021","","0","units","0","","4.5.1","205801","","","","0"
"2021","Nova Scotia","2021A000212","Within non-tracted CAs","Total private dwellings, 2021","","0","units","0","","4.5.2","100474","","","","0"
"2021","Nova Scotia","2021A000212","Within non-tracted CAs","Private dwellings occupied by usual residents, 2021","","0","units","0","","4.5.3","91916","","","","0"
"2021","Nova Scotia","2021A000212","Outside CMAs/CAs","Population, 2021","","0","units","0","","4.6.1","297879","","","","0"
"2021","Nova Scotia","2021A000212","Outside CMAs/CAs","Total private dwellings, 2021","","0","units","0","","4.6.2","163744","","","","0"
"2021","Nova Scotia","2021A000212","Outside CMAs/CAs","Private dwellings occupied by usual residents, 2021","","0","units","0","","4.6.3","135174","","","","0"
"2021","Nova Scotia","2021A000212","Strongly influenced","Population, 2021","","0","units","0","","4.7.1","27219","","","","0"
"2021","Nova Scotia","2021A000212","Strongly influenced","Total private dwellings, 2021","","0","units","0","","4.7.2","13614","","","","0"
"2021","Nova Scotia","2021A000212","Strongly influenced","Private dwellings occupied by usual residents, 2021","","0","units","0","","4.7.3","11887","","","","0"
"2021","Nova Scotia","2021A000212","Moderately influenced","Population, 2021","","0","units","0","","4.8.1","116298","","","","0"
"2021","Nova Scotia","2021A000212","Moderately influenced","Total private dwellings, 2021","","0","units","0","","4.8.2","64761","","","","0"
"2021","Nova Scotia","2021A000212","Moderately influenced","Private dwellings occupied by usual residents, 2021","","0","units","0","","4.8.3","52278","","","","0"
"2021","Nova Scotia","2021A000212","Weakly influenced","Population, 2021","","0","units","0","","4.9.1","151973","","","","0"
"2021","Nova Scotia","2021A000212","Weakly influenced","Total private dwellings, 2021","","0","units","0","","4.9.2","84024","","","","0"
"2021","Nova Scotia","2021A000212","Weakly influenced","Private dwellings occupied by usual residents, 2021","","0","units","0","","4.9.3","69832","","","","0"
"2021","Nova Scotia","2021A000212","Not influenced","Population, 2021","","0","units","0","","4.10.1","2389","","","","0"
"2021","Nova Scotia","2021A000212","Not influenced","Total private dwellings, 2021","","0","units","0","","4.10.2","1345","","","","0"
"2021","Nova Scotia","2021A000212","Not influenced","Private dwellings occupied by usual residents, 2021","","0","units","0","","4.10.3","1177","","","","0"
"2021","Nova Scotia","2021A000212","Territories","Population, 2021","","0","units","0","","4.11.1","0","","","","0"
"2021","Nova Scotia","2021A000212","Territories","Total private dwellings, 2021","","0","units","0","","4.11.2","0","","","","0"
"2021","Nova Scotia","2021A000212","Territories","Private dwellings occupied by usual residents, 2021","","0","units","0","","4.11.3","0","","","","0"
"2021","New Brunswick","2021A000213","All census subdivisions","Population, 2021","","0","units","0","","5.1.1","775610","","","","0"
"2021","New Brunswick","2021A000213","All census subdivisions","Total private dwellings, 2021","","0","units","0","","5.1.2","366146","","","","0"
"2021","New Brunswick","2021A000213","All census subdivisions","Private dwellings occupied by usual residents, 2021","","0","units","0","","5.1.3","337651","","","","0"
"2021","New Brunswick","2021A000213","Within CMAs","Population, 2021","","0","units","0","","5.2.1","396940","","","","0"
